N° Projet;Montant Loyer;Durée;;Montant Financé
61822;NULL;NULL;NULL;NULL
22945;NULL;NULL;NULL;NULL
61791;170;21;6,44;2639,7516
61829;NULL;NULL;NULL;NULL
61832;2280,94;21;5,6289660179;40521,52
61850;495;21;5,755;8601,2163
60615;165;36;9,88;1670,0405
61547;NULL;NULL;NULL;NULL
61864;338,58;22;5,4040000394;6265,36
61855;64,26;22;5,5936729331;1148,8
61894;NULL;NULL;NULL;NULL
60201;4344,68;22;5,5117591363;78825,61
61900;NULL;NULL;NULL;NULL
61905;280;21;5,642;4962,7792
61906;NULL;NULL;NULL;NULL
61907;NULL;NULL;NULL;NULL
61932;NULL;NULL;NULL;NULL
61935;156,84;22;7,1800000053;2184,4
59118;NULL;NULL;NULL;NULL
61937;NULL;NULL;NULL;NULL
61946;185,99;22;5,5000000335;3381,6
61854;197,68;22;5,4036854278;3658,21
61955;314,91;18;7,0457085415;4469,53
61959;NULL;0;NULL;NULL
56824;NULL;NULL;NULL;NULL
61968;163,8;21;6,1;2685,2459
61833;1076,7;21;5,789;18599,0672
61983;33,53;12;9,5432159903;351,3
61985;8118,21;16;7,1796927607;113071,81
61996;610,06;22;5,403999996;11288,98
61904;250;21;6,1;4098,3607
61733;NULL;NULL;NULL;NULL
61868;831;48;7,266;11436,8291
62002;199,89;22;5,5117591363;3626,61
61207;190;21;5,642;3367,6001
62003;767;20;5,9;13000
62005;NULL;NULL;NULL;NULL
62006;396;21;5,91;6700,5076
61992;NULL;NULL;NULL;NULL
61575;135,39;22;5,5000000335;2461,64
61972;910,64;22;5,4036854278;16852,13
62013;380;21;NULL;6532,58
61929;33,15;12;9,3545580499;354,37
61930;110,04;21;6,433;1710,555
60950;59;21;6,71;879,2846
58377;198;21;5,795;3416,7386
60885;33,12;12;9,3545580499;354,05
63509;NULL;NULL;NULL;NULL
60249;1254,85;21;5,654;22194,0219
61664;NULL;NULL;NULL;NULL
61839;NULL;NULL;NULL;NULL
6318;NULL;NULL;NULL;NULL
61840;405;21;5,817;6962,3517
61995;NULL;NULL;NULL;NULL
61582;1259,39;22;5,4036854278;23306,13
61080;NULL;NULL;NULL;NULL
58454;307,99;22;5,4036854278;5699,71
64517;562,03;21;5,755;9765,9427
60696;NULL;NULL;NULL;NULL
62059;NULL;NULL;NULL;NULL
62069;720;63;5,755;12510,8601
61683;945;16;NULL;13039,88
62014;150;16;7,05;2127,6596
62089;111;16;7,05;1574,4681
62126;NULL;NULL;NULL;NULL
62128;NULL;NULL;NULL;NULL
61519;1625,32;22;5,4036854278;30078,03
62170;NULL;NULL;NULL;NULL
59972;NULL;NULL;NULL;NULL
62164;NULL;NULL;NULL;NULL
62187;139,838;21;6,433;2173,7603
62195;NULL;NULL;NULL;NULL
62199;144,6;18;7,237;1998,0655
62200;130,84;22;5,4036854278;2421,24
62202;NULL;NULL;NULL;NULL
62203;NULL;NULL;NULL;NULL
62206;NULL;NULL;NULL;NULL
62213;769,95;21;5,8185685492;13232,64
62214;348;20;6,004;5796,1359
61693;474,42;21;5,795;8186,7127
62226;NULL;NULL;NULL;NULL
61973;338,17;22;5,4036854278;6258,08
60314;120;17;7,51;1597,8695
62232;58,92;20;6,4698414882;910,71
61742;244,35;21;1,932;12647,5155
60891;1785;12;9,36;19070,5128
61969;33;5;5,76;572,9167
62078;203,67;16;6,96;2926,2931
61687;NULL;NULL;NULL;NULL
62142;2278,94;20;5,8768227527;38778,52
62145;213;21;6,1;3491,8033
61812;232,49;22;5,4036854278;4302,47
62222;NULL;NULL;NULL;NULL
62225;1719;21;5,642;30467,9192
61740;NULL;NULL;NULL;NULL
62230;2860,75;20;5,8768227527;48678,44
62240;33,53;12;9,5432159903;351,3
62099;NULL;NULL;NULL;NULL
61469;285,64;12;9,88;2891,0931
62026;279,36;16;7,3679941823;3791,53
59764;NULL;NULL;NULL;NULL
62244;223,5;21;5,8000000309;3853,45
62245;2710,6;NULL;5,6;48403,5714
62262;228;21;6,1;3737,7049
62088;150;16;7,05;2127,6596
62288;NULL;NULL;NULL;NULL
62289;258,49;21;6,1;4237,541
62296;NULL;NULL;NULL;NULL
62300;90;20;6,636;1356,2387
62233;5557,42;21;5,6289660179;98729,05
62304;207;20;6,306;3282,588
