siren;siret
803712314;80371231400027
442462040;44246204000035
399180223;39918022300055
351122908;35112290800020
434690129;43469012900029
479715088;47971508800015
434690129;43469012900011
442385019;44238501900041
390056513;39005651300083
784131799;78413179900123
414571950;414571950
414578690;414578690
414711101;414711101
414757252;414757252
414815043;414815043
414849067;414849067
414977447;414977447
415054899;415054899
417539269;417539269
418101473;418101473
418130746;418130746
418130746;418130746A
418282240;418282240
418282240;418282240A
418418851;418418851
418450524;418450524
418486460;418486460
418694642;418694642
418814059;418814059
419391370;419391370
419725155;419725155
419735360;419735360
419772181;419772181
420327785;420327785
420416869;420416869
420435414;420435414
420544678;420544678
420671919;420671919
420726317;420726317
420792467;420792467
420895526;420895526
420999724;420999724
421088907;421088907
[NULL];[NULL]
421218132;421218132
421266149;421266149
421360009;421360009
421532003;421532003
421621798;421621798
421730037;421730037
417939428;41793942800039
324642545;32464254500000
479373151;47937315100022
448729798;44872979800034
440608891;44060889100030
421985235;421985235
422088344;422088344
422357863;422357863
422576330;422576330
491175048;49117504800000
422811851;422811851
423180603;423180603
423341460;423341460
423447507;423447507
423487610;423487610
423711241;423711241
423944982;423944982
424491496;424491496
428630628;428630628
418411088;41841108800010
428821912;428821912
320861818;32086181800351
428842876;428842876
428922777;428922777
351335518;35133551800020
429085848;429085848
429213986;429213986
429258882;429258882
429489156;429489156
430044040;430044040
430047688;430047688
750021826;75002182600029
[NULL];[NULL]
430176529;430176529
320976418;32097641800030
479274813;47927481300050
430202663;430202663
430263137;430263137
211100763;21110076300013
431288596;431288596
211101480;21110148000013
211102108;21110210800019
431328343;431328343
211102629;21110262900337
211103155;21110315500027
418062444;41806244400025
423333418;423333418
211102694;21110269400018
[NULL];[NULL]
538815234;53881523400017
484597299;48459729900011
431475110;431475110
431975127;431975127
432293199;432293199
432296234;432296234
432299840;432299840
432530830;432530830
432596229;432596229
432596229;432596229A
432710663;432710663
433188422;433188422
433601184;433601184
433602018;433602018
433744570;433744570
433761590;433761590
433805421;433805421
433860103;433860103
433994621;433994621
434075602;434075602
434116158;434116158
434316980;434316980
434341103;434341103
434389540;434389540
434592606;434592606
434708137;434708137
435282967;435282967
438038721;438038721
438074734;438074734
438106320;438106320
438234940;438234940
438418220;438418220
438598872;438598872
439073081;439073081
439295858;439295858
439508540;439508540
439511635;439511635
439694068;439694068
