siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;ref leaser;montant fin client
750245011;3142;01/10/2014;6 537.26;63;1;376.28;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD4412635;18;0;CABINET DE L'ORANGERIE;bnp;W0108788;6952.78
478260110;2880;01/10/2014;1 585.54;63;1;96.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;10394;18;0;C C 2000;bnp;W0159567;1787.39
489747212;4001;01/01/2015;5 316.28;63;1;306.01;0;1.00;0.00;TRIMESTRE;NON;NON;20.67;LHD4718835;18;0;INCENDIE SURVEILLANCE PROTECTION EUROPEENNE;bnp;W0164766;5695.42
785906413;4097;01/01/2015;4 334.60;63;1;255.00;0;1.00;0.00;TRIMESTRE;NON;NON;17.38;LHD4716992;18;0;ASS SPORTIVE DE SAINT-OUEN-L'AUMONE;bnp;W0168128;4787.63
344944848;4989;01/04/2015;2 028.82;63;1;120.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;W3029204156;18;0;LE TEMPS DU CLIENT;bnp;W0205918;2244.73
338354426;4990;01/04/2015;23 605.39;63;1;1299.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LWG4X19632;18;0;CGC;bnp;W0206110;24290.67
317837367;5075;01/04/2015;11 051.58;63;1;613.80;0;1.03;0.00;TRIMESTRE;NON;NON;0;E154M631527;18;0;PREST SERVICES ENTRETIEN;bnp;W0209876;11478.22
343889309;5293;01/04/2015;5 776.76;63;1;326.44;0;1.00;0.00;TRIMESTRE;NON;NON;22.25;L8K4Y06826;18;0;OBM CONSTRUCTIONS;bnp;W0218788;6128.67
331468223;5302;01/04/2015;3 748.13;63;1;216.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;V1S4Y50942;18;0;SAS PDG PLASTIQUES;bnp;W0219396;4055.54
349888131;5361;01/04/2015;7 910.19;63;1;447.00;0;1.00;0.00;TRIMESTRE;NON;NON;30.46;LSN4Z04543;18;0;FIDELIANCE;bnp;W0221635;8391.78
331457788;5398;01/04/2015;1 572.35;63;1;93.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;QLG0305478;18;0;ASS GEN INTERVENANTS RETRAITES;bnp;W0222575;1746.63
412142143;5555;01/04/2015;8 825.85;60;1;519.75;0;1.00;0.00;TRIMESTRE;NON;NON;0;L8B4Y04039;18;0;BEALAS ENERGIE SERVICES;bnp;W0229191;9344.11
412142143;5556;01/04/2015;5 823.31;60;1;342.93;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD5128934;18;0;BEALAS ENERGIE SERVICES;bnp;W0229195;6165.52
388782658;5584;01/04/2015;4 560.29;66;1;253.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD4Y22962;18;0;FAF-APADVOR;bnp;W0230474;4948.98
498161231;5610;01/04/2015;2 156.64;63;1;127.56;0;1.00;0.00;TRIMESTRE;NON;NON;15;7526489441XWR;18;0;SARL DE LA ROCHETTE;bnp;W0231970;2395.37
431408608;5688;01/04/2015;9 823.01;48;1;701.26;0;1.00;0.00;TRIMESTRE;NON;OUI;39.29;E175M130537;18;0;POINT TRANSACTION SYSTEMS;bnp;X0002344;10311.46
510854961;5721;01/04/2015;4 164.58;63;1;240.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;G174JA00028;18;0;BENZEGHIBA SABA;bnp;X0003842;4506.06
442325460;5707;01/04/2015;5 067.15;63;1;286.34;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD4Y24034;18;0;MOBICITE;bnp;X0004366;5355.09
