Contrat;Contrat Leaser;Affaire;Nature;Client;Leaser;EchÃ©ance Client < EchÃ©ance Leaser;EchÃ©ance client non facturÃ©e ;Facture Client < Facture leaser ;Facture Client impayÃ©e ;Facture Client < Loyer client;Duree;Montant;Echeance;Prochaine;Debut;Fin;Facture Materiel;Visa rentabilitÃ© Ã©chÃ©ance;RentabilitÃ© PrÃ©visionnelle;RentabilitÃ© Attendue;RentabilitÃ© RÃ©elle
4062561;AK4733;004-72676;INTERNE;C'PRO Groupe;GE CAPITAL EQUIPEMENT FINANCE MANDATEE;Non;Oui;Non;Non;Non;21;45000;2533,05;01/07/2016;01/01/2015;31/03/2020;;Non;3 006,60 â‚¬ / 6.68 %;5 400,00 â‚¬ / 12.00 %;-6 560,20 â‚¬ / -14.58 %
6605316;284023-E0;006-72706;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;21;3304;201,54;01/07/2016;16/01/2015;30/06/2020;6665463;Non;829,06 â‚¬ / 25.09 %;330,40 â‚¬ / 10.00 %;-654,96 â‚¬ / -19.82 %
6605175;288406-E0;006-72915;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;21;4151,1000976562;255,5;01/07/2016;19/01/2015;30/06/2020;6665474;Non;1 075,51 â‚¬ / 25.91 %;415,11 â‚¬ / 10.00 %;-276,52 â‚¬ / -6.66 %
2020708;205473-F0;002-71819;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;20;12513,790039062;850,94;01/07/2016;20/01/2015;31/03/2020;2326136;Non;3 979,97 â‚¬ / 31.80 %;1 501,65 â‚¬ / 12.00 %;-3 406,00 â‚¬ / -27.22 %
4062573;205693-F0;003-73303;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;8;1451,4200439453;235;01/07/2016;01/01/2015;31/12/2016;4933923;Non;348,21 â‚¬ / 23.99 %;145,14 â‚¬ / 10.00 %;-1 149,48 â‚¬ / -79.20 %
06604683-ADJ1;AM2959;006-72896;INTERNE;C'PRO Groupe;GE CAPITAL EQUIPEMENT FINANCE MANDATEE;Non;Oui;Non;Non;Non;16;1144,3000488281;86,28;01/07/2016;01/01/2015;31/12/2018;6664985;Non;58,13 â‚¬ / 5.08 %;137,32 â‚¬ / 12.00 %;-496,20 â‚¬ / -43.36 %
2020734;W0230060;002-73485;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;21;2094,330078125;123;01/07/2016;23/01/2015;30/06/2020;2326273;Non;235,33 â‚¬ / 11.24 %;209,43 â‚¬ / 10.00 %;-65,20 â‚¬ / -3.11 %
4062598;CTR-033643/0001;004-70558;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;22;76885,3828125;4163,24;01/07/2016;01/02/2015;30/09/2020;4934203;Non;3 589,80 â‚¬ / 4.67 %;9 226,25 â‚¬ / 12.00 %;-1 955,31 â‚¬ / -2.54 %
4062602;209227-F0;004-73492;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;16;31969,470703125;2282,62;01/07/2016;01/01/2015;31/12/2018;4934254;Non;2 382,81 â‚¬ / 7.45 %;3 196,95 â‚¬ / 10.00 %;-10 495,15 â‚¬ / -32.83 %
06605168-ADJ;229833-D0;006-60389-Solde Partiel;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Oui;Oui;Non;Non;Non;16;11282,009765625;0;01/07/2016;01/01/2015;31/12/2018;6646615;Non;-11 138,30 â‚¬ / -98.73 %;1 353,84 â‚¬ / 12.00 %;-4 455,66 â‚¬ / -39.49 %
