N° dossier Hexapage;N° fact HF;Leaser;Client final;SIREN;Fournisseur / Adhérent;Groupe;N° fact Adh;Facture HF HT;N° contrat Leaseur;MF HEXAPAGE
7566;3825;BNP PARIBAS LEASE GROUP;JCB Immobilier;413909524;Perret Bureautique;Groupe BCMP;;8 900,68 €;X0097132;8389,94
7613;3875;BNP PARIBAS LEASE GROUP;GPIMO;489268581;Perret Bureautique;Groupe BCMP;;41 287,56 €;X0101887;40393,3
7661;4175;BNP PARIBAS LEASE GROUP;My Architectes;450478904;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;28 847,58 €;X0124666;27683,17
7712;6782;BNP PARIBAS LEASE GROUP;fhp midi pyrenees;410394167;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;16 390,53 €;Y0032840;15673,36
7716;3853;BNP PARIBAS LEASE GROUP;Chambre Régionale Huissier de Justice;521620047;Perret Bureautique;Groupe BCMP;;6 798,82 €;X0084814;6366,46
7753;4744;BNP PARIBAS LEASE GROUP;FHP Midi Pyrennées;410394167;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;37 136,54 €;X0159104;36332,12
7839;3861;BNP PARIBAS LEASE GROUP;YMCA ESAT Edouard Serres;303356182;Perret Bureautique;Groupe BCMP;;6 689,38 €;X0101591;6279,87
7873;3958;BNP PARIBAS LEASE GROUP;Verger Entreprise;410002844;Perret Bureautique;Groupe BCMP;;5 056,73 €;X0089901;4641,14
7876;3994;BNP PARIBAS LEASE GROUP;Résidence Paul & Lisa;429635907;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;13 748,23 €;X0089904;13071,74
7967;4627;BNP PARIBAS LEASE GROUP;AT Occitania;326274537;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;69 785,56 €;X0092380;68512
7992;3993;BNP PARIBAS LEASE GROUP;OGEC Ecole Ste Therese;776944480;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;9 998,96 €;X0093900;9425,29
8021;3978;BNP PARIBAS LEASE GROUP;Com com du saint Gaudinois;200072643;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 179,58 €;X0094459;2032,39
8051;5041;BNP PARIBAS LEASE GROUP;AZF Mémoires et Solidarité;479870297;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 770,60 €;X0183428;5403,56
8069;4626;BNP PARIBAS LEASE GROUP;AT Occitania;326274537;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 439,80 €;X0097131;5208,39
8130;3953;BNP PARIBAS LEASE GROUP;YMCA de Colomiers;303356182;Perret Bureautique;Groupe BCMP;;1 940,37 €;X0099602;1739,63
8131;3954;BNP PARIBAS LEASE GROUP;YMCA de Colomiers (8131);303356182;Perret Bureautique;Groupe BCMP;;1 795,37 €;X0099607;1609,57
8132;3955;BNP PARIBAS LEASE GROUP;YMCA de Colomiers (8132);303356182;Perret Bureautique;Groupe BCMP;;1 795,37 €;X0099610;1609,57
8133;3956;BNP PARIBAS LEASE GROUP;YMCA de Colomiers (8133);303356182;Perret Bureautique;Groupe BCMP;;3 970,48 €;X0099611;3656,78
8174;4118;BNP PARIBAS LEASE GROUP;GECA Diffusion;438094484;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;23 670,55 €;X0100732;22714,88
8239;4304;BNP PARIBAS LEASE GROUP;Orpi toulouse Immobilier;320838584;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;20 587,82 €;X0103039;19756,5
8286;4501;BNP PARIBAS LEASE GROUP;Jo Invest;441397809;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 169,38 €;X0141851;9444,22
8381;4280;BNP PARIBAS LEASE GROUP;PR Sarl;388905036;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 329,02 €;X0108665;6863
8442;4201;BNP PARIBAS LEASE GROUP;Pharmacie Peyre Stefenel;398055970;Perret Bureautique;Groupe BCMP;;2 898,06 €;X0112188;2659,56
8461;4400;BNP PARIBAS LEASE GROUP;Autocars R. Barrière;777307455;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;17 929,81 €;X0137365;17205,79
8507;4384;BNP PARIBAS LEASE GROUP;Piano et Jacobins;380360131;Perret Bureautique;Groupe BCMP;;8 692,39 €;X0113076;8193,59
8508;4861;BNP PARIBAS LEASE GROUP;Sartre Marion;418475257;Perret Bureautique;Groupe BCMP;;3 522,94 €;X0113077;3233,18
8521;4281;BNP PARIBAS LEASE GROUP;Murelec;429152903;Perret Bureautique;Groupe BCMP;;6 959,78 €;X0130257;6517,19
8522;4506;BNP PARIBAS LEASE GROUP;Terrell;387652316;Perret Bureautique;Groupe BCMP;;9 705,45 €;X0142349;9148,61
8523;4951;BNP PARIBAS LEASE GROUP;Pilocap Midi Pyrenées;392314381;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;11 703,17 €;X0114392;11127,2
8525;5235;BNP PARIBAS LEASE GROUP;Ass unies pour réussir empalot;393658497;Perret Bureautique;Groupe BCMP;;5 852,03 €;X0113962;5479,78
8557;4398;BNP PARIBAS LEASE GROUP;Ingedoc;433536786;Perret Bureautique;Groupe BCMP;;9 203,66 €;X0137348;8675,56
8558;4473;BNP PARIBAS LEASE GROUP;Altone;504296138;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;12 896,13 €;X0114926;12261,52
8559;4401;BNP PARIBAS LEASE GROUP;Durand Ginisti Narboni;344388533;Perret Bureautique;Groupe BCMP;;8 624,04 €;X0137417;8129,14
8620;4591;BNP PARIBAS LEASE GROUP;Jean et Laynet;313791931;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 608,15 €;X0117404;3262,38
8633;4544;BNP PARIBAS LEASE GROUP;BPS Charpente SARL;487545048;Perret Bureautique;Groupe BCMP;;4 825,72 €;X0144467;4429,07
8780;4521;BNP PARIBAS LEASE GROUP;Takii France;382258895;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 698,82 €;X0143299;10172,21
8781;4451;BNP PARIBAS LEASE GROUP;SRAS Medecine du Travail;314939141;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;26 016,88 €;X0139707;24966,65
8843;4864;BNP PARIBAS LEASE GROUP;Société Nouvelle Martineau;393991351;Perret Bureautique;Groupe BCMP;;4 246,64 €;X0125816;4020,01
8866;4402;BNP PARIBAS LEASE GROUP;Cabinet Sorrex;487884850;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 775,33 €;X0137397;10244,95
8921;4397;BNP PARIBAS LEASE GROUP;Innovilla Conseils;811545706;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 249,69 €;X0130169;5852,19
8965;4507;BNP PARIBAS LEASE GROUP;LCR Architecture;384058475;Perret Bureautique;Groupe BCMP;;11 862,24 €;X0142331;11278,44
8978;4467;BNP PARIBAS LEASE GROUP;Auto Secours;326801685;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 930,60 €;X0132643;10392,6
9011;4670;BNP PARIBAS LEASE GROUP;ESGCV Toulouse;752535476;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;12 214,44 €;X0134644;11613,34
9017;5562;BNP PARIBAS LEASE GROUP;Sotodex;528443054;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 971,72 €;X0186754;3645,14
9018;4658;BNP PARIBAS LEASE GROUP;Loisirs Educ et Citoyenn Grand Sud;479927915;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;41 111,89 €;X0133586;40221,45
9055;4454;BNP PARIBAS LEASE GROUP;EURL Equilibre;419362058;Perret Bureautique;Groupe BCMP;;9 889,32 €;X0139727;9321,94
9090;4732;BNP PARIBAS LEASE GROUP;Cabinet Acodit;393825500;Perret Bureautique;Groupe BCMP;;12 422,73 €;X0137190;11811,39
9364;4860;BNP PARIBAS LEASE GROUP;ADN Patrimoine;502678816;Perret Bureautique;Groupe BCMP;;19 372,15 €;X0150923;18589,95
9395;5718;BNP PARIBAS LEASE GROUP;Fayard Sud;321831307;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;11 829,27 €;X0189588;11069,22
9399;4945;BNP PARIBAS LEASE GROUP;Dom santé;451392930;Perret Bureautique;Groupe BCMP;;47 582,28 €;X0176571;46551,81
9451;4948;BNP PARIBAS LEASE GROUP;Andrau Immobilier;640801981;Perret Bureautique;Groupe BCMP;;16 721,15 €;X0152830;16045,88
9481;5180;BNP PARIBAS LEASE GROUP;Reperages;392028817;Perret Bureautique;Groupe BCMP;;4 397,77 €;X0196391;4036,24
9494;4982;BNP PARIBAS LEASE GROUP;Sistec;404207474;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;16 929,44 €;X0154541;16005,72
9554;5036;BNP PARIBAS LEASE GROUP;Sud Conconrs;484328562;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;14 832,31 €;X0156803;14102,53
